Product Name,Style Code,Stock Control,Code,Supplier Code,Supplier,Contact ID
WINDSOR 5271 SERIES - NECKED INWARD REVERSE BOLT 150MM - DARK ROMAN BRASS,5271-DRB,Batch,WIN5271DRB,5271-DRB,Windsor Brass,2019
WINDSOR 5269 SERIES - 6MM PACKER TO SUIT 5060 - UNLACQUERED BRASS,5269-UB,Batch,WIN5269UB,5269-UB,Windsor Brass,2019
WINDSOR 5269 SERIES - 6MM PACKER TO SUIT 5060 - UNLACQUERED SATIN BRASS,5269-USB,Batch,WIN5269USB,5269-USB,Windsor Brass,2019
WINDSOR 5273 SERIES - NECKED OUTWARD REVERSE BOLT 150MM - UNLACQUERED BRASS,5273-UB,Batch,WIN5273UB,5273-UB,Windsor Brass,2019
WINDSOR 5273 SERIES - NECKED OUTWARD REVERSE BOLT 150MM - UNLACQUERED SATIN BRASS,5273-USB,Batch,WIN5273USB,5273-USB,Windsor Brass,2019
WINDSOR 5269 SERIES - 6MM PACKER TO SUIT 5060 - BRUSHED NICKEL,5269-BN,Batch,WIN5269BN,5269-BN,Windsor Brass,2019
WINDSOR 5269 SERIES - 6MM PACKER TO SUIT 5060 - DARK ROMAN BRASS,5269-DRB,Batch,WIN5269DRB,5269-DRB,Windsor Brass,2019
WINDSOR 5269 SERIES - 6MM PACKER TO SUIT 5060 - NATURAL BRONZE,5269-NB,Batch,WIN5269NB,5269-NB,Windsor Brass,2019
WINDSOR 5269 SERIES - 6MM PACKER TO SUIT 5060 - OIL RUBBED BRONZE,5269-OR,Batch,WIN5269OR,5269-OR,Windsor Brass,2019
WINDSOR 5269 SERIES - 6MM PACKER TO SUIT 5060 - POWDERCOAT,5269-PC,Batch,WIN5269PC,5269-PC,Windsor Brass,2019
WINDSOR 5269 SERIES - 6MM PACKER TO SUIT 5060 - ROMAN BRASS,5269-RB,Batch,WIN5269RB,5269-RB,Windsor Brass,2019
WINDSOR 5323 SERIES - WEDGE FASTENER - UNLACQUERED BRASS,5323-UB,Batch,WIN5323UB,5323-UB,Windsor Brass,2019
